Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-13b,1,1,40,int4_gptq,False,20,1,0.5397738615671793,7.36053466796875,8.19842529296875,177.7175793647766,17.932462215423584
llama-2-13b,1,1,40,int4_gptq,False,50,1,0.9777705669403076,7.36053466796875,8.19647216796875,177.7175793647766,18.914748907089233
llama-2-13b,1,1,40,int4_gptq,False,100,1,1.707738717397054,7.36053466796875,8.19842529296875,177.7175793647766,23.706682205200195
llama-2-13b,1,1,40,int4_gptq,False,200,1,3.178752819697062,7.36053466796875,8.35467529296875,177.7175793647766,29.992153882980347
llama-2-13b,1,2,20 20,float16,False,10,1,0.615137497584025,25.8870849609375,26.5570068359375,130.08935618400574,22.2527494430542
llama-2-13b,1,2,20 20,float16,False,20,1,0.9970551331837972,25.5550537109375,26.5570068359375,130.08935618400574,24.91590690612793
llama-2-13b,1,2,20 20,float16,False,50,1,2.258623997370402,25.5550537109375,26.5570068359375,130.08935618400574,30.395550966262817
llama-2-13b,1,2,20 20,float16,False,100,1,4.310199896494548,25.5550537109375,26.5570068359375,130.08935618400574,40.52072262763977
llama-2-13b,1,2,20 20,float16,False,200,1,8.419093211491903,25.5550537109375,26.7132568359375,130.08935618400574,61.33363747596741
llama-2-13b,1,2,20 20,float16,True,10,1,0.6193689505259196,25.5042724609375,26.1156005859375,223.8107032775879,22.7733416557312
llama-2-13b,1,2,20 20,float16,True,20,1,1.029731273651123,25.5042724609375,26.1448974609375,223.8107032775879,24.967304706573486
llama-2-13b,1,2,20 20,float16,True,50,1,2.2546664079030356,25.5042724609375,26.1156005859375,223.8107032775879,30.22170877456665
llama-2-13b,1,2,20 20,float16,True,100,1,4.2981696128845215,25.5042724609375,26.1156005859375,223.8107032775879,40.607651472091675
llama-2-13b,1,2,20 20,float16,True,200,1,8.393582979838053,25.5042724609375,26.1937255859375,223.8107032775879,60.72924256324768
llama-2-13b,1,2,20 20,int8,False,10,1,0.4489757219950358,13.6370849609375,14.6331787109375,251.33522748947144,17.309579849243164
llama-2-13b,1,2,20 20,int8,False,20,1,0.6652580897013346,13.6370849609375,14.6331787109375,251.33522748947144,18.355490684509277
llama-2-13b,1,2,20 20,int8,False,50,1,1.3249334494272869,13.6370849609375,14.6331787109375,251.33522748947144,21.059432983398438
llama-2-13b,1,2,20 20,int8,False,100,1,2.4205892086029053,13.6370849609375,14.6331787109375,251.33522748947144,26.47104239463806
llama-2-13b,1,2,20 20,int8,False,200,1,4.6192465623219805,13.6370849609375,14.7894287109375,251.33522748947144,37.259865522384644
llama-2-13b,1,2,20 20,int8,True,10,1,0.44425519307454425,13.6370849609375,14.2445068359375,422.90578722953796,16.40507483482361
llama-2-13b,1,2,20 20,int8,True,20,1,0.6619025866190592,13.6370849609375,14.2445068359375,422.90578722953796,17.868374347686768
llama-2-13b,1,2,20 20,int8,True,50,1,1.3056965668996174,13.6370849609375,14.3128662109375,422.90578722953796,20.95917320251465
llama-2-13b,1,2,20 20,int8,True,100,1,2.3805452982584634,13.6370849609375,14.2445068359375,422.90578722953796,26.52802610397339
llama-2-13b,1,2,20 20,int8,True,200,1,4.537606795628865,13.6370849609375,14.3226318359375,422.90578722953796,37.12985062599182
llama-2-13b,1,2,20 20,int4,False,10,1,0.3606228828430176,7.7308349609375,8.7269287109375,299.1173014640808,13.807999849319458
llama-2-13b,1,2,20 20,int4,False,20,1,0.4969183603922526,7.7308349609375,8.7659912109375,299.1173014640808,14.313808679580688
llama-2-13b,1,2,20 20,int4,False,50,1,0.8854849338531494,7.7308349609375,8.7269287109375,299.1173014640808,16.44492769241333
llama-2-13b,1,2,20 20,int4,False,100,1,1.534976323445638,7.7308349609375,8.7269287109375,299.1173014640808,19.612720012664795
llama-2-13b,1,2,20 20,int4,False,200,1,2.842400232950846,7.7308349609375,8.8831787109375,299.1173014640808,26.177571058273315
llama-2-13b,1,2,20 20,int4,True,10,1,0.35994529724121094,7.7308349609375,8.3382568359375,469.71857500076294,13.834272146224976
